epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2039.29,1.61455,1.20885,0.95811,0.65954,0.56444,0.61141,0.42653,1.54233,1.135,0.96065,0.000360385,0.000360385,0.000360385
57,2074.59,1.62376,1.20752,0.9575,0.69392,0.57042,0.62792,0.44187,1.53731,1.09221,0.95899,0.000357846,0.000357846,0.000357846
58,2110.71,1.59018,1.1994,0.9482,0.64749,0.59461,0.63067,0.44114,1.55586,1.10689,0.96369,0.000355308,0.000355308,0.000355308
59,2145.82,1.61712,1.20536,0.95166,0.68652,0.59652,0.62385,0.43781,1.53725,1.10162,0.95702,0.000352769,0.000352769,0.000352769
60,2181.38,1.57319,1.17826,0.94833,0.6522,0.58689,0.61371,0.43199,1.54752,1.13375,0.96014,0.000350231,0.000350231,0.000350231
61,2215.79,1.60072,1.19726,0.95195,0.69618,0.5707,0.62679,0.43762,1.53607,1.11217,0.95456,0.000347692,0.000347692,0.000347692
62,2251.35,1.61313,1.1827,0.9516,0.71505,0.55025,0.62146,0.42868,1.55723,1.0931,0.96146,0.000345154,0.000345154,0.000345154
63,2286.7,1.59724,1.19017,0.95155,0.69312,0.58203,0.61794,0.43294,1.55346,1.10823,0.96387,0.000342615,0.000342615,0.000342615
64,2323.79,1.56754,1.151,0.95,0.72258,0.57887,0.64718,0.44867,1.54311,1.09369,0.95833,0.000340077,0.000340077,0.000340077
65,2362.73,1.59471,1.17364,0.95087,0.71951,0.59491,0.64375,0.44864,1.53807,1.07873,0.96201,0.000337538,0.000337538,0.000337538
66,2398.54,1.582,1.17158,0.94867,0.71902,0.59727,0.64742,0.4527,1.51613,1.0757,0.95225,0.000335,0.000335,0.000335
67,2435,1.58335,1.1534,0.94065,0.70739,0.60851,0.65759,0.45586,1.53542,1.07287,0.95782,0.000332462,0.000332462,0.000332462
68,2470.75,1.56421,1.13646,0.94618,0.74977,0.59586,0.65839,0.46572,1.51683,1.06831,0.95484,0.000329923,0.000329923,0.000329923
69,2507.28,1.56259,1.14068,0.95016,0.69345,0.61449,0.66097,0.46965,1.49922,1.0636,0.95128,0.000327385,0.000327385,0.000327385
70,2543.56,1.5851,1.15636,0.94281,0.72245,0.56203,0.62566,0.43818,1.51608,1.0546,0.95303,0.000324846,0.000324846,0.000324846
71,2580.04,1.57759,1.13944,0.94171,0.66739,0.58938,0.62697,0.42883,1.55407,1.08618,0.9591,0.000322308,0.000322308,0.000322308
72,2615.58,1.56143,1.12756,0.9483,0.71033,0.60381,0.65844,0.46348,1.49907,1.06724,0.94877,0.000319769,0.000319769,0.000319769
73,2651.1,1.58432,1.1342,0.94856,0.73532,0.61216,0.66008,0.46395,1.49959,1.05166,0.94886,0.000317231,0.000317231,0.000317231
74,2686.39,1.57074,1.13782,0.9399,0.74081,0.61619,0.66839,0.46443,1.5127,1.03903,0.95116,0.000314692,0.000314692,0.000314692
75,2721.98,1.53408,1.10154,0.94434,0.74282,0.62448,0.67988,0.48207,1.48845,1.03922,0.94871,0.000312154,0.000312154,0.000312154
76,2759.13,1.55777,1.11932,0.93499,0.76619,0.61157,0.6808,0.47715,1.48866,1.01779,0.94595,0.000309615,0.000309615,0.000309615
77,2795.1,1.55233,1.10959,0.93949,0.76179,0.58417,0.66368,0.45759,1.54562,1.05108,0.95758,0.000307077,0.000307077,0.000307077
